plate	well	accs.id
1	1	LDRVK9259C
1	2	BCXUI5793Z
1	3	YPVDT8779Z
1	4	VWKMO6053C
1	5	USJNN2374T
1	6	YZIGU7805R
1	7	XACNS1444N
1	8	EFOUJ5326B
1	9	JCWPN1617V
1	10	VIGFX9804Z
1	11	GRBID4091U
1	12	MYIYJ9403R
1	13	CWQAP3880L
1	14	DVVCN6512E
1	15	TAXNI6354I
1	16	WQWPS2878T
1	17	LBKMN9655K
1	18	LMWQU3151M
1	19	BXZWK4340G
1	20	OVMSH3358R
1	21	GSHKR2929W
1	22	RHIGW4465T
1	23	RKNAF0297G
1	24	MGZTY0879U
1	25	GMLCO1788J
1	26	HNTDC3538F
1	27	RPRAG3548F
1	28	EUNVF4643F
1	29	HFBHS2537J
1	30	OEIHD7609E
1	31	MNYVD0509D
1	32	HLFSP8276L
1	33	VUDFU0618W
1	34	TIGXM1171V
1	35	TBRCU8922O
1	36	AUMTT8787G
1	37	DBNDO0756A
1	38	ZQSYP6292Y
1	39	RZYEN7743Y
1	40	JYGVX1223Q
1	41	ZNTSP8281D
1	42	XASCN4183F
1	43	EWXJI4382O
1	44	VYSMI0008C
1	45	QUWFH1119F
1	46	GBOEU9312S
1	47	WFLOT6657K
1	48	ZEVTZ1999A
1	49	PBYXM1226I
1	50	LSRVA6480N
1	51	ZJTCD6539S
1	52	WPPNG5231Z
1	53	TVWIL1068J
1	54	SLDYU3986O
1	55	NRSFW9082O
1	56	MXOTW5534J
1	57	JDPZG4570C
1	58	QQHUP9030T
1	59	QZRCU8755A
1	60	LPFAH9181J
1	61	AFPSQ9627A
1	62	EKRBT8523W
1	63	WQCIC0684A
1	64	VMTRQ7942J
1	65	LYGCC8440O
1	66	GCZEW7919F
1	67	HQMHR6073O
1	68	JBZRZ6690P
1	69	DHWXD2879S
1	70	JYHVS0660O
1	71	UVKPO2568S
1	72	SIHZN1388P
1	73	VBIIR8977L
1	74	SVJWP4592S
1	75	DYVAU8607W
1	76	LQJGO0909F
1	77	IXMQT0905V
1	78	KOEZH1541R
1	79	AYXKD3477X
1	80	FXORG0983Y
1	81	GEDZO1617T
1	82	NSERS8299O
1	83	MCWIP6092F
1	84	MULWI3057F
1	85	IDJKY3910H
1	86	ZRMYL1776V
1	87	MGKSN9984S
1	88	OIYCS0949G
1	89	QWBDN8218Y
1	90	JFGTB6666J
1	91	XHMGC1414D
1	92	COTFJ0280T
1	93	MZQBJ3893E
1	94	FERVH7232C
1	95	HKALA1131S
1	96	DHZAF5561O
1	97	CMSXE6575C
1	98	CPMUL4623B
1	99	ELZOA7899T
1	100	DHODK3756T
1	101	PJBAD7199Q
1	102	TKVIU4645A
1	103	ZZPZQ5295X
1	104	RMUZS5248F
1	105	MJKRN2226F
1	106	BLYQP7460Q
1	107	ZYLAT6224Q
1	108	FFQZA5286F
1	109	ZOWDU4343C
1	110	XCDVT4241Z
1	111	UJNSB8674N
1	112	QKTSM5581L
1	113	KNFXB2946J
1	114	RFXDB7934U
1	115	HCKDS4295S
1	116	FTNLJ4100M
1	117	QINYS5072L
1	118	SHZXZ9217M
1	119	KNJMM7289L
1	120	HHKKX8945W
1	121	OFUOZ7267J
1	122	YOCFV4402Z
1	123	XZUOY8564Q
1	124	PKKQP9669K
1	125	AFSSN9695R
1	126	RNWXA4982W
1	127	NVXVP1630X
1	128	DBRPR5124I
1	129	VFPFY8800N
1	130	TNJNF9392X
1	131	GXHMY3345C
1	132	OJLLN0340S
1	133	KIWGH0851U
1	134	PKKAT8369L
1	135	LLURL6266O
1	136	MRZWC2293J
1	137	CNBBY0734R
1	138	AMFUI3087D
1	139	MMPNN3626A
1	140	OFQSZ0394A
1	141	DTMKB2038Q
1	142	NKKWC8459T
1	143	GSSNA1848Y
1	144	ZELWW8626U
1	145	THYTX6894X
1	146	BLZYR2043C
1	147	DYOVJ5256A
1	148	PNTJD9627K
1	149	HTBXW3817C
1	150	QXODG1811U
1	151	ADSPD5987N
1	152	MTMSL7816M
1	153	ZFYWG3650E
1	154	ZWPMR5240N
1	155	ZJNEX2351L
1	156	HXSNG6257K
1	157	YCNRO2000X
1	158	GNDZP8119U
1	159	NXIRO0229F
1	160	WKUQQ3387A
1	161	NCKAM6025G
1	162	ADQGV1110M
1	163	HVAUA1683J
1	164	GTTRS4621M
1	165	OEFHC5349G
1	166	VFTII4087N
1	167	WHFAY4918O
1	168	GOLPR6508R
1	169	QTCDR4463J
1	170	ZSLTK7909Y
1	171	FGKZN2525T
1	172	ADSJG0845S
1	173	XPWQD4641H
1	174	ZFXFB0655Q
1	175	IFBIQ6482G
1	176	ENBIF1951V
1	177	LMCMM7230O
1	178	EPMBK8949E
1	179	JHOBQ3935E
1	180	OWAPY7469F
1	181	QIAMW5498B
1	182	IXZMO2286R
1	183	GXDXR7976J
1	184	XJWSS0613L
1	185	YETWC0437V
1	186	SOBQQ8738S
1	187	BWYXG8223C
1	188	HPHGU3065W
1	189	HAKPI7020M
1	190	PSAFO3902H
1	191	DDVSO3570T
1	192	QSCQJ7104N
1	193	RBQXB2588G
1	194	FZWDI6003F
1	195	AVUSD6591V
1	196	ESQNZ8513T
1	197	ERFVR5931I
1	198	PLALS3041I
1	199	CDYTV1059F
1	200	SQMMZ8673Z
1	201	XVDQO6652Q
1	202	ULBFK4638T
1	203	ITYSX3308X
1	204	PCLCA4853U
1	205	HCCMH4939X
1	206	TZTZD6590U
1	207	XDUVJ1175U
1	208	TIKGE2184W
1	209	CABTQ7161Z
1	210	KDJNK8233K
1	211	GVNUI2976P
1	212	DNTVR7675L
1	213	BXWHL4636G
1	214	IJXCZ5362J
1	215	LXOZR3417F
1	216	ONWUY2682B
1	217	ULNWD1746V
1	218	IIZKM0626S
1	219	XTHTA1804G
1	220	EFGQL8731K
1	221	GYLUQ3464X
1	222	GKNLF6082Z
1	223	KELCX1957A
1	224	IAAEL6887Z
1	225	NHCGH4975P
1	226	QFYSI1809E
1	227	TQFHG5928X
1	228	YQKDQ4514Z
1	229	IGWJJ3717B
1	230	HTLFT6397P
1	231	XGUTB7767H
1	232	MFQIQ2442O
1	233	LLGWQ4235G
1	234	FXKDE7489C
1	235	SUORP0260V
1	236	CVSDA4330G
1	237	CEISG9249J
1	238	UXAPR2077N
1	239	CSQPB4074H
1	240	NSAJA7269Z
1	241	ISHAS6078X
1	242	ZIHJR6434S
1	243	KUPUT0189L
1	244	KPPTJ8595S
1	245	NATUF0944U
1	246	KRYNU8995F
1	247	OBSMD5014C
1	248	QJFVD2068Z
1	249	MGAVM6294J
1	250	FXXMA3453S
1	251	GPZEU0348G
1	252	NCCUJ8915S
1	253	UDGNQ1560P
1	254	UTRJM2728B
1	255	SKGSK9950B
1	256	KMVMH2686B
1	257	RDKAW3471P
1	258	EEEMH9246D
1	259	NNKIP7620K
1	260	XMWAV0912V
1	261	DRGCX0561W
1	262	OZNAM5751A
1	263	FEDEJ2156V
1	264	HOVXF5421B
1	265	QXFVC0291J
1	266	AWNLZ6095R
1	267	ZBKVO5492O
1	268	HLXQM7780V
1	269	DFHVN5063M
1	270	EATEU3909U
1	271	ENLHT5926A
1	272	MCLBO4619B
1	273	RNSDD0929Y
1	274	XUGPS0964U
1	275	GIDCV8764U
1	276	PINTA3081U
1	277	CMMKI0397G
1	278	UTYQK7129I
1	279	FSUKH3253B
1	280	OJVQD2991U
1	281	ZNRMN9794F
1	282	HMJIW8042T
1	283	RULIB7558U
1	284	JQWYY6898Y
1	285	SFJUJ4037D
1	286	PLKFX3947Q
1	287	UTTER1530K
1	288	MQNHH4444E
1	289	HCKBF6725K
1	290	DEUYX4173D
1	291	JPQWO9144G
1	292	TEULE3428O
1	293	RKELV8653X
1	294	PXAYC2676Q
1	295	KJPXV8347W
1	296	QMNBB8034A
1	297	QGDPT6729T
1	298	XRUXM4916I
1	299	GHPGH3423T
1	300	BLZSM3183V
1	301	IWANF0672B
1	302	OAVDW1775R
1	303	UFROJ6257N
1	304	LMAOC6940E
1	305	FUUQC9578I
1	306	XNBTW8398P
1	307	WCZRA4245W
1	308	OIMMS4821V
1	309	ZFUDX5531G
1	310	QEIES6970Z
1	311	MLIFW8889I
1	312	GJVUL8576T
1	313	BPEWO4844E
1	314	FUYTC5626O
1	315	HGBDO8195Z
1	316	AAWGG2564S
1	317	JKBYQ7937N
1	318	GPXRD3492Z
1	319	HVPOL7195U
1	320	JGPOD9197E
1	321	OGXIJ3308T
1	322	BQUJP8459L
1	323	HSRKI7839C
1	324	AYYYZ7847A
1	325	FYLTY0222D
1	326	ICZFL3084O
1	327	FIZXJ9528X
1	328	BHLMM5559E
1	329	FRYYC3928X
1	330	KOAPM4995K
