AssayRun,PlateSet,Plate,PlateOrder,Well,WellType,WellNum,Response,BkSub,Norm,NormPos,pEnhanced
AR-1,PS-1,PLT-2,2,H12,blank,96,0.0011,-4.55E-18,-7.32E-18,-7.91E-18,-139.87834
AR-1,PS-1,PLT-2,2,G12,negative,95,0.165,0.1639,0.26354083,0.2845486,-100
AR-1,PS-1,PLT-2,2,F12,positive,94,0.633,0.6319,1.0160552,1.0970486,13.868616
AR-1,PS-1,PLT-2,2,E12,positive,93,0.519,0.5179,0.83275044,0.89913195,-13.868616
AR-1,PS-1,PLT-2,2,D12,unknown,92,0.2592166,0.2581166,0.4150352,0.4481191,-77.076256
AR-1,PS-1,PLT-2,2,C12,unknown,91,0.36316237,0.36206236,0.5821734,0.6285805,-51.785313
AR-1,PS-1,PLT-2,2,B12,unknown,90,0.20208414,0.20098414,0.3231698,0.3489308,-90.9771
AR-1,PS-1,PLT-2,2,A12,unknown,89,0.067335494,0.0662355,0.10650249,0.11499218,-123.76266
AR-1,PS-1,PLT-2,2,H11,unknown,88,0.3085828,0.3074828,0.49441293,0.5338243,-65.06501
AR-1,PS-1,PLT-2,2,G11,unknown,87,0.23119397,0.23009397,0.36997655,0.3994687,-83.89441
AR-1,PS-1,PLT-2,2,F11,unknown,86,0.1587381,0.1576381,0.25347212,0.27367726,-101.523575
AR-1,PS-1,PLT-2,2,E11,unknown,85,0.42977434,0.42867434,0.6892812,0.7442263,-35.57802
AR-1,PS-1,PLT-2,2,D11,unknown,84,0.124693654,0.12359366,0.19873078,0.21457231,-109.8069
AR-1,PS-1,PLT-2,2,C11,unknown,83,0.21462393,0.21352392,0.34333298,0.37070125,-87.926056
AR-1,PS-1,PLT-2,2,B11,unknown,82,0.2653616,0.2642616,0.42491597,0.4587875,-75.581116
AR-1,PS-1,PLT-2,2,A11,unknown,81,0.48249587,0.48139587,0.7740541,0.8357567,-22.750397
AR-1,PS-1,PLT-2,2,H10,unknown,80,0.19741501,0.196315,0.31566212,0.34082466,-92.11314
AR-1,PS-1,PLT-2,2,G10,unknown,79,0.057040706,0.055940706,0.089949116,0.09711928,-126.26747
AR-1,PS-1,PLT-2,2,F10,unknown,78,0.09923113,0.098131135,0.15778865,0.17036654,-116.00216
AR-1,PS-1,PLT-2,2,E10,unknown,77,0.26671645,0.26561645,0.42709446,0.46113968,-75.25147
AR-1,PS-1,PLT-2,2,D10,unknown,76,0.25338304,0.25228304,0.40565518,0.43799138,-78.49561
AR-1,PS-1,PLT-2,2,C10,unknown,75,0.24881606,0.24771605,0.39831176,0.4300626,-79.6068
AR-1,PS-1,PLT-2,2,B10,unknown,74,0.11907643,0.11797643,0.18969864,0.20482019,-111.17362
AR-1,PS-1,PLT-2,2,A10,unknown,73,0.27563974,0.27453974,0.44144255,0.4766315,-73.08035
AR-1,PS-1,PLT-2,2,H09,unknown,72,0.24499734,0.24389733,0.3921715,0.4234329,-80.53593
AR-1,PS-1,PLT-2,2,G09,unknown,71,0.37866238,0.37756237,0.60709643,0.6554902,-48.014023
AR-1,PS-1,PLT-2,2,F09,unknown,70,0.5485317,0.5474317,0.88023555,0.95040226,-6.6832833
AR-1,PS-1,PLT-2,2,E09,unknown,69,0.27681676,0.27571675,0.44333512,0.47867492,-72.793976
AR-1,PS-1,PLT-2,2,D09,unknown,68,0.031436875,0.030336875,0.04877978,0.052668188,-132.49712
AR-1,PS-1,PLT-2,2,C09,unknown,67,0.14019692,0.13909692,0.22365905,0.24148771,-106.03481
AR-1,PS-1,PLT-2,2,B09,unknown,66,0.38566813,0.38456813,0.61836123,0.667653,-46.30946
AR-1,PS-1,PLT-2,2,A09,unknown,65,0.26017308,0.25907308,0.41657314,0.44977966,-76.84354
AR-1,PS-1,PLT-2,2,H08,unknown,64,0.27018902,0.269089,0.43267813,0.46716842,-74.40657
AR-1,PS-1,PLT-2,2,G08,unknown,63,0.115360744,0.11426075,0.18372405,0.19836934,-112.07768
AR-1,PS-1,PLT-2,2,F08,unknown,62,0.060063753,0.058963753,0.09480999,0.102367625,-125.53194
AR-1,PS-1,PLT-2,2,E08,unknown,61,0.13148996,0.13038996,0.20965882,0.22637147,-108.1533
AR-1,PS-1,PLT-2,2,D08,unknown,60,0.2252603,0.2241603,0.3604356,0.3891672,-85.33813
AR-1,PS-1,PLT-2,2,C08,unknown,59,0.23490173,0.23380172,0.3759384,0.40590578,-82.99228
