AssayRun	PlateSet	Plate	PlateOrder	Well	WellType	WellNum	Response	Bk_Sub	Norm	NormPos	pEnhanced	Sample	accession	Target
AR-4	PS-4	PLT-8	2	P24	blank	384	1.0E-4	-2.5E-4	-3.1576064E-4	-4.4483988E-4	-124.45183			1
AR-4	PS-4	PLT-8	2	O24	blank	383	6.0E-4	2.5E-4	3.1576064E-4	4.4483988E-4	-124.34109			1
AR-4	PS-4	PLT-8	2	N24	negative	382	0.057	0.05665	0.07155136	0.10080071	-111.84939			1
AR-4	PS-4	PLT-8	2	M24	negative	381	0.164	0.16365	0.20669691	0.29119217	-88.15061			1
AR-4	PS-4	PLT-8	2	L24	positive	380	0.557	0.55665	0.7030726	0.99048036	-1.1074252			1
AR-4	PS-4	PLT-8	2	K24	positive	379	0.625	0.62465	0.7889595	1.1114769	13.953486			1
AR-4	PS-4	PLT-8	2	J24	positive	378	0.512	0.51165	0.6462357	0.9104093	-11.074193			1
AR-4	PS-4	PLT-8	2	I24	positive	377	0.554	0.55365	0.6992835	0.98514235	-1.7718685			1
AR-4	PS-4	PLT-8	2	H24	unknown	376	0.104388766	0.10403877	0.13140538	0.18512236	-101.35354	SPL-1304		1
AR-4	PS-4	PLT-8	2	G24	unknown	375	0.2821063	0.2817563	0.3558702	0.50134575	-61.99196	SPL-1303		1
AR-4	PS-4	PLT-8	2	F24	unknown	374	0.48684353	0.48649353	0.614462	0.86564684	-16.645954	SPL-1302		1
AR-4	PS-4	PLT-8	2	E24	unknown	373	0.12901984	0.12866984	0.16251548	0.22894989	-95.898155	SPL-1301		1
AR-4	PS-4	PLT-8	2	D24	unknown	372	0.2782396	0.2778896	0.3509864	0.4944655	-62.84837	SPL-1300		1
AR-4	PS-4	PLT-8	2	C24	unknown	371	0.1298223	0.1294723	0.16352901	0.23037775	-95.72042	SPL-1299		1
AR-4	PS-4	PLT-8	2	B24	unknown	370	0.27623844	0.27588844	0.34845883	0.4909047	-63.2916	SPL-1298		1
AR-4	PS-4	PLT-8	2	A24	unknown	369	0.34238678	0.34203678	0.43200698	0.60860634	-48.6408	SPL-1297		1
AR-4	PS-4	PLT-8	2	P23	unknown	368	0.54440784	0.54405785	0.6871682	0.96807444	-3.8963814	SPL-1296		1
AR-4	PS-4	PLT-8	2	O23	unknown	367	0.2727869	0.2724369	0.34409937	0.48476315	-64.05606	SPL-1295		1
