plate	well	accs.id
1	1	LKWWU1330Q
1	2	IYSPA0314U
1	3	IANYJ9074T
1	4	QVSRN0016D
1	5	ABYSX9117G
1	6	CWWFL9732U
1	7	WXHRG5635B
1	8	XNMBZ8163H
1	9	WONER4952A
1	10	GERFB9547K
1	11	TNQLZ6315V
1	12	XBUQV1051Y
1	13	WRYAL5966W
1	14	FBGUW0623H
1	15	JJXBD0372A
1	16	VUYHI1964D
1	17	PZPBY2095M
1	18	DHOQF4060L
1	19	NHITR5085F
1	20	CQYYN6724A
1	21	AKQSY6897Z
1	22	PRWMS7652F
1	23	HPCKD4717Y
1	24	XFHOC9536L
1	25	KPEWM0126V
1	26	MHANV5086Z
1	27	EAAHY6065A
1	28	GXWUS2747A
1	29	BYRIS2726R
1	30	CCMDM2897W
1	31	IVHSO4208Q
1	32	KNREB2773V
1	33	FYIAM2350Q
1	34	EAPBU1626O
1	35	BJHHS0981Z
1	36	CUMCI8957G
1	37	MBMUM2041U
1	38	LXIEO5803D
1	39	BNXYF1956M
1	40	CQMYT2033B
1	41	PIAIH4531T
1	42	VIQRW4633N
1	43	VHVNI6846P
1	44	ALHQB9126D
1	45	XEUGN4096J
1	46	QZVQD4542V
1	47	EVCZW1962N
1	48	LPBGA3335L
1	49	UQFKB8376K
1	50	RYYWZ1126V
1	51	MMFSV3125E
1	52	ESRZQ8484P
1	53	UEWHK9744U
1	54	NTDWI8600O
1	55	RTWBZ8260U
1	56	OBYEY5127X
1	57	JPJBR7527O
1	58	VWQTI4011V
1	59	MRIHZ7746Q
1	60	DZJZN6525D
1	61	HBAEY5632N
1	62	TLGVP3430V
1	63	TLFAO3328D
1	64	LMYUK6919Q
1	65	KTXYU3239C
1	66	JWXVW5143A
1	67	AEWAP3568R
1	68	XKWAF9945H
1	69	LBQGX2030T
1	70	LSXTH0470O
1	71	JGTVG4641X
1	72	GLUEF4724L
1	73	MOUUN7127X
1	74	VRHPG2814R
1	75	WFDQS0302N
1	76	QNVGF3490J
1	77	PZIZM3077H
1	78	YVHZE0967T
1	79	REYNW6913T
1	80	NOZWT1593K
1	81	FRMBV6594P
1	82	XKAJU1624I
1	83	CSCZD7746Y
1	84	GQPSV3191O
1	85	TLDYS0273Y
1	86	JWPNJ5416L
1	87	YWYUF9851T
1	88	LQDVJ3411X
1	89	QKQRY8685B
1	90	GLFIA8103F
1	91	QLQUQ0779Z
1	92	IBSPD3920W
1	93	HPXXT4035S
1	94	JCDGZ1185U
1	95	QYLTA0187Y
1	96	HRMAT6035W
1	97	DKSME5414P
1	98	VBYDD2837P
1	99	XUVYH4494V
1	100	KMOLQ7957F
1	101	YQESC1225K
1	102	GVDRL6410U
1	103	JHVXG3475R
1	104	DJSWY8545O
1	105	AWQHG7630C
1	106	UVZHT0083F
1	107	KVVOO4284U
1	108	MSBFF5378P
1	109	ZCBDW1767G
1	110	CYHGC6789L
1	111	HARWW5094C
1	112	DRUKC8462V
1	113	HQUGD0004Z
1	114	DERNS8701D
1	115	YBUXU1333O
1	116	ZRKXH4299P
1	117	HDSIZ2313I
1	118	SOTZY9460H
1	119	SBMOD4504L
1	120	SNOWA8719H
1	121	VWSDZ6355S
1	122	JEIEE8884A
1	123	DDFQA0532M
1	124	LDRHL8984U
1	125	JXMLH2888S
1	126	ZAIQR2440C
1	127	BBANJ6034U
1	128	CEQSM7315K
1	129	LJOOX0888I
1	130	IIWYK0884T
1	131	OAIFV5256E
1	132	ABQIN3331K
1	133	GHQKG9855G
1	134	RPQUD4941J
1	135	JILAN9312C
1	136	QMNYO8775V
1	137	KXZIG1057N
1	138	MWSEP3423M
1	139	TCCRQ6695Z
1	140	ROIWG5945O
1	141	QNSTW4601C
1	142	FJMCS6955P
1	143	PNXFO3274J
1	144	HTSGA8863Z
1	145	IADDD0084N
1	146	WEVQF8626D
1	147	IKYZF7134P
1	148	XDCIT7055D
1	149	QCOMA7733I
1	150	NPXAU9120I
1	151	RGPAH6485J
1	152	WUYHA2207Q
1	153	JAZKQ1600V
1	154	FWXRZ6568B
1	155	PJTRD3749I
1	156	SDGUU6517C
1	157	UCBJL3634S
1	158	KKWVR4761N
1	159	QMQBQ0472B
1	160	IEZKZ7995E
1	161	QXWVQ8800P
1	162	JWNXZ9143J
1	163	TGGLH9392Z
1	164	HBYPD9240V
1	165	FDDIT2187M
1	166	DHQRR9179A
1	167	ZULBJ8042Y
1	168	BRTZN8616E
1	169	OLYQE1197A
1	170	MJQJE1823R
1	171	YXRSX4149R
1	172	BBFTY2293M
1	173	BYMQX9283C
1	174	JDRIE4769I
1	175	WBGBN1700U
1	176	NMFMI6753H
1	177	KIZNF0033W
1	178	ILXJM0684S
1	179	YNPFY4523Q
1	180	AGFDC6342Y
1	181	JNJAM1932C
1	182	ZNJVB3238I
