assay.run.id	plate.order	well	response	bkgrnd.sub	norm	norm.pos	p.enhance	type	reps	trgt	smplid
3	2	96	0.0011	0	0	0	-104.2735	4	1	1	0
3	2	95	1000	999.9989	0.034033358	0.040983565	-100	3	1	1	0
3	2	94	26900	26899.998	0.91549826	1.1024591	10.683761	2	1	1	0
3	2	93	21900	21899.998	0.7453313	0.897541	-10.683761	2	1	1	0
3	2	92	16529.945	16529.943	0.5625701	0.67745674	-33.632713	1	1	1	552
3	2	91	9290.501	9290.5	0.31618723	0.3807582	-64.57051	1	1	1	551
3	2	90	1062.8169	1062.8158	0.036171228	0.043558028	-99.73155	1	1	1	550
3	2	89	9301.775	9301.774	0.31657097	0.38122028	-64.52232	1	1	1	549
3	2	88	9225.693	9225.692	0.31398162	0.37810215	-64.847466	1	1	1	548
3	2	87	6528.0566	6528.0557	0.22217189	0.2675433	-76.375824	1	1	1	547
3	2	86	24549.598	24549.596	0.8355061	1.006131	0.63930625	1	1	1	546
3	2	85	11994.414	11994.413	0.40821058	0.49157432	-53.015324	1	1	1	545
3	2	84	5012.3354	5012.3345	0.17058675	0.20542355	-82.853264	1	1	1	544
3	2	83	11438.424	11438.423	0.38928837	0.46878785	-55.39135	1	1	1	543
3	2	82	16521.6	16521.598	0.5622861	0.6771147	-33.668377	1	1	1	542
3	2	81	4987.997	4987.996	0.16975844	0.20442608	-82.957275	1	1	1	541
3	2	80	9556.238	9556.237	0.3252312	0.3916491	-63.43488	1	1	1	540
3	2	79	13242.544	13242.543	0.4506887	0.5427272	-47.681435	1	1	1	539
3	2	78	3552.6301	3552.629	0.12090802	0.14559956	-89.091324	1	1	1	538
3	2	77	18692.914	18692.912	0.63618326	0.766103	-24.389256	1	1	1	537
3	2	76	6487.0215	6487.0205	0.22077532	0.2658615	-76.55119	1	1	1	536
3	2	75	7975.431	7975.43	0.27143097	0.3268619	-70.19047	1	1	1	535
3	2	74	11210.767	11210.766	0.38154042	0.45945764	-56.364246	1	1	1	534
3	2	73	19768.217	19768.215	0.6727795	0.8101728	-19.793945	1	1	1	533
3	2	72	11761.188	11761.1875	0.4002731	0.4820159	-54.012016	1	1	1	532
3	2	71	22810.477	22810.475	0.7763179	0.9348556	-6.792835	1	1	1	531
3	2	70	3948.108	3948.1067	0.13436748	0.16180766	-87.401245	1	1	1	530
3	2	69	3555.6875	3555.6863	0.12101208	0.14572486	-89.07826	1	1	1	529
3	2	68	8456.091	8456.09	0.28778943	0.34656107	-68.13637	1	1	1	528
3	2	67	4109.781	4109.78	0.13986975	0.1684336	-86.71034	1	1	1	527
3	2	66	6277.1846	6277.1836	0.21363387	0.25726163	-77.44793	1	1	1	526
3	2	65	18476.238	18476.236	0.6288091	0.7572229	-25.315222	1	1	1	525
3	2	64	13940.384	13940.383	0.47443855	0.5713272	-44.699215	1	1	1	524
3	2	63	8591.347	8591.346	0.29239264	0.35210434	-67.55835	1	1	1	523
3	2	62	9040.673	9040.672	0.30768475	0.37051934	-65.63815	1	1	1	522
3	2	61	13655.921	13655.92	0.4647573	0.5596689	-45.914867	1	1	1	521
3	2	60	6292.12	6292.119	0.21414217	0.25787374	-77.3841	1	1	1	520
3	2	59	3829.8918	3829.8906	0.13034418	0.15696274	-87.90645	1	1	1	519
3	2	58	8952.396	8952.3955	0.3046804	0.36690146	-66.015396	1	1	1	518
3	2	57	7384.6763	7384.6753	0.25132558	0.30265063	-72.71506	1	1	1	517
3	2	56	5816.144	5816.143	0.19794309	0.23836653	-79.41819	1	1	1	516
3	2	55	11139.167	11139.166	0.37910363	0.4565232	-56.670227	1	1	1	515
3	2	54	8187.437	8187.436	0.27864623	0.33555067	-69.284454	1	1	1	514
3	2	53	13937.847	13937.846	0.4743522	0.5712232	-44.710056	1	1	1	513
3	2	52	14765.01	14765.009	0.50250334	0.60512334	-41.17517	1	1	1	512
3	2	51	14344.473	14344.472	0.48819107	0.5878882	-42.97234	1	1	1	511
3	2	50	10118.398	10118.397	0.34436342	0.41468844	-61.032486	1	1	1	510
3	2	49	1351.919	1351.9178	0.046010353	0.05540647	-98.49607	1	1	1	509
3	2	48	11582.772	11582.771	0.39420104	0.47470376	-54.774475	1	1	1	508
3	2	47	2013.0011	2013	0.06850922	0.0825	-95.67094	1	1	1	507
3	2	46	13715.228	13715.227	0.46677572	0.56209946	-45.66142	1	1	1	506
3	2	45	3461.7908	3461.7896	0.117816456	0.14187664	-89.47953	1	1	1	505
3	2	44	3342.0388	3342.0376	0.11374089	0.13696876	-89.99129	1	1	1	504
3	2	43	14535.283	14535.282	0.494685	0.5957083	-42.15691	1	1	1	503
3	2	42	11925.045	11925.044	0.40584973	0.48873132	-53.311775	1	1	1	502
3	2	41	13466.01	13466.009	0.45829397	0.5518856	-46.726456	1	1	1	501
3	2	40	7280.642	7280.641	0.24778493	0.29838693	-73.15965	1	1	1	500
3	2	39	7569.607	7569.606	0.25761938	0.31022975	-71.92476	1	1	1	499
3	2	38	7008.0044	7008.0034	0.23850614	0.28721327	-74.32477	1	1	1	498
3	2	37	7446.8823	7446.8813	0.25344265	0.30520007	-72.44922	1	1	1	497
3	2	36	8639.042	8639.041	0.29401588	0.35405907	-67.35452	1	1	1	496
3	2	35	3651.6472	3651.646	0.12427791	0.14965764	-88.668175	1	1	1	495
3	2	34	1222.8248	1222.8237	0.041616842	0.05011573	-99.04776	1	1	1	494
3	2	33	18958.639	18958.637	0.6452268	0.7769934	-23.253681	1	1	1	493
3	2	32	15159.229	15159.228	0.51592	0.62127984	-39.490475	1	1	1	492
3	2	31	6705.589	6705.588	0.2282139	0.2748192	-75.61714	1	1	1	491
3	2	30	16787	16786.998	0.57131857	0.6879918	-32.534187	1	1	1	490
3	2	29	7392.7344	7392.7334	0.25159982	0.3029809	-72.680626	1	1	1	489
3	2	28	14408.225	14408.224	0.49036077	0.590501	-42.699894	1	1	1	488
3	2	27	2635.0544	2635.0532	0.08967981	0.107994	-93.01259	1	1	1	487
3	2	26	10738.675	10738.674	0.3654735	0.4401096	-58.381733	1	1	1	486
3	2	25	12165.965	12165.964	0.41404903	0.4986051	-52.2822	1	1	1	485
3	2	24	990.2495	990.2484	0.033701513	0.040583953	-100.04167	1	1	1	484
3	2	23	8912.82	8912.819	0.3033335	0.3652795	-66.18453	1	1	1	483
3	2	22	13448.13	13448.129	0.45768547	0.5511528	-46.802864	1	1	1	482
3	2	21	3396.802	3396.8008	0.11560466	0.13921316	-89.757256	1	1	1	481
3	2	20	19652.75	19652.748	0.66884977	0.80544055	-20.287394	1	1	1	480
3	2	19	2143.4011	2143.4	0.07294718	0.08784427	-95.11367	1	1	1	479
3	2	18	8795.998	8795.997	0.29935762	0.3604917	-66.68377	1	1	1	478
3	2	17	19749.629	19749.627	0.67214686	0.809411	-19.87338	1	1	1	477
3	2	16	8351.38	8351.379	0.28422576	0.34226963	-68.58385	1	1	1	476
3	2	15	5972.0215	5972.0205	0.20324813	0.24475494	-78.752045	1	1	1	475
3	2	14	10425.038	10425.037	0.3547994	0.42725563	-59.72206	1	1	1	474
3	2	13	12106.8	12106.799	0.41203547	0.4961803	-52.53504	1	1	1	473
3	2	12	13476.84	13476.839	0.45866257	0.5523295	-46.680172	1	1	1	472
3	2	11	20645.256	20645.254	0.7026281	0.846117	-16.045916	1	1	1	471
3	2	10	16339.495	16339.494	0.55608845	0.66965145	-34.4466	1	1	1	470
3	2	9	14029.637	14029.636	0.47747612	0.5749851	-44.31779	1	1	1	469
3	2	8	5728.079	5728.078	0.19494593	0.2347573	-79.79453	1	1	1	468
3	2	7	16465.629	16465.627	0.56038123	0.67482084	-33.90757	1	1	1	467
3	2	6	29382.906	29382.904	1	1.2042174	21.294472	1	1	1	466
3	2	5	13862.977	13862.976	0.4718041	0.56815475	-45.030014	1	1	1	465
3	2	4	15294.867	15294.866	0.5205362	0.6268388	-38.910824	1	1	1	464
3	2	3	5188.7446	5188.7437	0.17659056	0.21265343	-82.09938	1	1	1	463
3	2	2	1502.892	1502.8909	0.051148478	0.06159389	-97.85089	1	1	1	462
3	2	1	4713.5854	4713.5845	0.16041927	0.1931797	-84.129974	1	1	1	461
3	1	96	0.0036	8.6736174e-19	3.437553e-23	3.6140078e-23	-124.35231	4	1	1	0
3	1	95	4700	4699.9966	0.18627161	0.1958332	-100	3	1	1	0
3	1	94	26100	26099.996	1.0344025	1.0875	10.880829	2	1	1	0
3	1	93	21900	21899.996	0.8679469	0.91249996	-10.880829	2	1	1	0
3	1	92	10510.781	10510.777	0.41656613	0.43794912	-69.89233	1	1	1	460
3	1	91	9545.843	9545.839	0.37832344	0.39774334	-74.892006	1	1	1	459
3	1	90	4001.3284	4001.3247	0.15858164	0.1667219	-103.62006	1	1	1	458
3	1	89	18646.973	18646.969	0.739022	0.77695715	-27.735893	1	1	1	457
3	1	88	13848.192	13848.188	0.5488354	0.57700795	-52.60004	1	1	1	456
3	1	87	7403.515	7403.5117	0.29341808	0.3084797	-85.99215	1	1	1	455
3	1	86	19447.273	19447.27	0.7707398	0.81030303	-23.589256	1	1	1	454
3	1	85	10559.862	10559.858	0.41851133	0.4399942	-69.638016	1	1	1	453
3	1	84	10012.894	10012.89	0.39683372	0.4172038	-72.47205	1	1	1	452
3	1	83	19238.158	19238.154	0.76245207	0.8015899	-24.672756	1	1	1	451
3	1	82	13454.005	13454.001	0.53321284	0.5605835	-54.64246	1	1	1	450
3	1	81	5372.5347	5372.5312	0.21292569	0.2238555	-96.515366	1	1	1	449
3	1	80	12782.754	12782.75	0.5066096	0.53261465	-58.120445	1	1	1	448
3	1	79	20125.445	20125.441	0.79761726	0.8385602	-20.075413	1	1	1	447
3	1	78	18054.457	18054.453	0.7155393	0.752269	-30.805922	1	1	1	446
3	1	77	22252.654	22252.65	0.88192344	0.92719394	-9.053605	1	1	1	445
3	1	76	9466.238	9466.234	0.37516853	0.3944265	-75.30447	1	1	1	444
3	1	75	23100.281	23100.277	0.9155168	0.9625117	-4.661755	1	1	1	443
3	1	74	11555.946	11555.942	0.45798844	0.48149768	-64.47696	1	1	1	442
3	1	73	9965.724	9965.72	0.39496428	0.4152384	-72.71646	1	1	1	441
3	1	72	18324.482	18324.479	0.726241	0.76352006	-29.406826	1	1	1	440
3	1	71	5080.006	5080.0024	0.2013321	0.2116668	-98.03106	1	1	1	439
3	1	70	3890.0317	3890.028	0.1541707	0.16208453	-104.196724	1	1	1	438
3	1	69	14019.66	14019.656	0.55563104	0.58415246	-51.711605	1	1	1	437
3	1	68	9214.534	9214.53	0.36519292	0.38393882	-76.608635	1	1	1	436
3	1	67	14024.549	14024.545	0.5558248	0.5843561	-51.686275	1	1	1	435
3	1	66	15941.427	15941.423	0.63179505	0.66422606	-41.754265	1	1	1	434
3	1	65	8167.512	8167.509	0.32369703	0.3403129	-82.033615	1	1	1	433
3	1	64	8294.816	8294.8125	0.32874238	0.34561726	-81.37401	1	1	1	432
3	1	63	7647.94	7647.9365	0.3031052	0.31866407	-84.7257	1	1	1	431
3	1	62	7752.9727	7752.969	0.30726787	0.32304043	-84.18149	1	1	1	430
3	1	61	10137.794	10137.79	0.4017838	0.42240798	-71.824905	1	1	1	429
3	1	60	3613.6357	3613.632	0.1432165	0.15056802	-105.62883	1	1	1	428
3	1	59	12772.569	12772.565	0.506206	0.5321903	-58.173218	1	1	1	427
3	1	58	12835.526	12835.522	0.5087011	0.5348135	-57.847015	1	1	1	426
3	1	57	8727.782	8727.778	0.34590182	0.3636575	-79.13066	1	1	1	425
3	1	56	12012.596	12012.592	0.4760865	0.50052476	-62.110905	1	1	1	424
3	1	55	2514.1333	2514.1296	0.099640705	0.10475542	-111.32574	1	1	1	423
3	1	54	25231.957	25231.953	1	1.0513315	6.383197	1	1	1	422
3	1	53	3311.2922	3311.2886	0.13123395	0.13797039	-107.19537	1	1	1	421
3	1	52	21705.738	21705.734	0.8602479	0.9044058	-11.887366	1	1	1	420
3	1	51	10536.647	10536.644	0.41759127	0.4390269	-69.7583	1	1	1	419
3	1	50	7996.634	7996.6304	0.31692475	0.33319297	-82.919	1	1	1	418
3	1	49	19411.705	19411.701	0.7693301	0.808821	-23.773548	1	1	1	417
3	1	48	10980.087	10980.083	0.4351658	0.45750353	-67.46069	1	1	1	416
3	1	47	6001.731	6001.7275	0.23786217	0.250072	-93.25528	1	1	1	415
3	1	46	12953.065	12953.062	0.5133594	0.539711	-57.238003	1	1	1	414
3	1	45	14083.83	14083.826	0.55817425	0.5868262	-51.37912	1	1	1	413
3	1	44	8619.277	8619.273	0.34160152	0.35913646	-79.69286	1	1	1	412
3	1	43	20515.432	20515.428	0.81307334	0.85480964	-18.054758	1	1	1	411
3	1	42	2089.3782	2089.3745	0.08280669	0.087057285	-113.526535	1	1	1	410
3	1	41	14263.885	14263.881	0.56531024	0.59432846	-50.446194	1	1	1	409
3	1	40	14642.909	14642.905	0.5803318	0.61012113	-48.482334	1	1	1	408
3	1	39	11431.843	11431.839	0.45306993	0.4763267	-65.11999	1	1	1	407
3	1	38	14487.666	14487.662	0.5741792	0.6036527	-49.286705	1	1	1	406
3	1	37	10772.916	10772.912	0.42695513	0.4488714	-68.53411	1	1	1	405
3	1	36	13310.932	13310.928	0.52754253	0.5546221	-55.383774	1	1	1	404
3	1	35	5166.5127	5166.5093	0.20476057	0.21527125	-97.58283	1	1	1	403
3	1	34	22884.729	22884.725	0.90697396	0.9535304	-5.778609	1	1	1	402
3	1	33	13002.34	13002.336	0.5153123	0.5417641	-56.982697	1	1	1	401
3	1	32	4960.998	4960.9946	0.19661555	0.20670813	-98.64768	1	1	1	400
3	1	31	9954.124	9954.12	0.39450455	0.41475508	-72.77656	1	1	1	399
3	1	30	3654.4922	3654.4885	0.14483574	0.15227038	-105.41714	1	1	1	398
3	1	29	6305.3384	6305.335	0.24989483	0.2627223	-91.68218	1	1	1	397
3	1	28	17677.32	17677.316	0.70059246	0.736555	-32.76	1	1	1	396
3	1	27	1714.3557	1714.3522	0.06794369	0.071431346	-115.46966	1	1	1	395
3	1	26	12622.4795	12622.476	0.50025755	0.5259366	-58.950882	1	1	1	394
3	1	25	13430.211	13430.207	0.53226984	0.55959207	-54.765747	1	1	1	393
3	1	24	8558.933	8558.929	0.3392099	0.3566221	-80.00553	1	1	1	392
3	1	23	13738.992	13738.988	0.5445075	0.57245797	-53.165844	1	1	1	391
3	1	22	5553.615	5553.612	0.22010233	0.23140052	-95.577126	1	1	1	390
3	1	21	17241.193	17241.19	0.68330777	0.718383	-35.019722	1	1	1	389
3	1	20	1996.3942	1996.3906	0.07912152	0.08318295	-114.00832	1	1	1	388
3	1	19	14670.134	14670.13	0.5814108	0.6112555	-48.341274	1	1	1	387
3	1	18	10631.303	10631.299	0.4213427	0.44297087	-69.26786	1	1	1	386
3	1	17	17497.238	17497.234	0.6934554	0.72905153	-33.693066	1	1	1	385
3	1	16	12176.145	12176.141	0.4825683	0.5073393	-61.2635	1	1	1	384
3	1	15	20723.799	20723.795	0.8213314	0.8634916	-16.975136	1	1	1	383
3	1	14	10600.085	10600.081	0.42010546	0.44167012	-69.42961	1	1	1	382
3	1	13	5488.0503	5488.047	0.21750383	0.22866865	-95.91684	1	1	1	381
3	1	12	7612.608	7612.6045	0.3017049	0.3171919	-84.90877	1	1	1	380
3	1	11	13073.664	13073.66	0.51813906	0.5447359	-56.61314	1	1	1	379
3	1	10	8272.625	8272.621	0.3278629	0.34469262	-81.48899	1	1	1	378
3	1	9	3296.8916	3296.888	0.13066322	0.13737035	-107.26999	1	1	1	377
3	1	8	3833.2175	3833.2139	0.15191904	0.15971728	-104.491104	1	1	1	376
3	1	7	19030.244	19030.24	0.75421196	0.7929268	-25.75003	1	1	1	375
3	1	6	14036.958	14036.954	0.5563166	0.5848732	-51.62198	1	1	1	374
3	1	5	3439.4175	3439.4138	0.13631183	0.14330894	-106.53152	1	1	1	373
3	1	4	17629.35	17629.346	0.6986913	0.7345562	-33.008553	1	1	1	372
3	1	3	12860.453	12860.449	0.50968903	0.53585213	-57.71786	1	1	1	371
3	1	2	12854.506	12854.502	0.5094533	0.53560436	-57.748672	1	1	1	370
3	1	1	8071.9805	8071.977	0.31991088	0.3363324	-82.528595	1	1	1	369
