assay.run.id	plate.order	well	response	bkgrnd.sub	norm	norm.pos	p.enhance	type
1	1	96	6.0e-4	0	0	0	-112.33962	blank
1	2	96	0.0011	0	0	0	-139.87834	blank
1	1	84	0.27735955	0.27675954	0.41446468	0.46482962	-60.12084	unknown
1	2	84	0.124693654	0.12359366	0.19908303	0.21498287	-109.8069	unknown
1	1	72	0.2156373	0.2150373	0.32203177	0.36116442	-71.76655	unknown
1	2	72	0.24499734	0.24389733	0.3928666	0.42424306	-80.53593	unknown
1	1	60	0.0740586	0.0734586	0.110008836	0.12337689	-98.47951	unknown
1	2	60	0.2252603	0.2241603	0.36107445	0.3899118	-85.33813	unknown
1	1	48	0.20036949	0.1997695	0.29916728	0.3355215	-74.64726	unknown
1	2	48	0.059176486	0.058076486	0.093548834	0.10102015	-125.74782	unknown
1	1	36	0.4213019	0.4207019	0.63002735	0.706587	-32.961903	unknown
1	2	36	0.2981748	0.2970748	0.47852415	0.5167417	-67.597374	unknown
1	1	24	0.416933	0.416333	0.6234846	0.69924927	-33.786224	unknown
1	2	24	0.6219146	0.6208146	1	1.0798655	11.17144	unknown
1	1	12	0.27068916	0.27008915	0.40447536	0.45362642	-61.379402	unknown
1	2	12	0.29425392	0.2931539	0.47220847	0.50992155	-68.55136	unknown
1	1	95	0.066	0.0654	0.09794058	0.10984212	-100	negative
1	2	95	0.165	0.1639	0.26400796	0.28509307	-100	negative
1	1	83	0.10930842	0.10870842	0.16279764	0.18258049	-91.8286	unknown
1	2	83	0.21462393	0.21352392	0.3439415	0.37141055	-87.926056	unknown
1	1	71	0.3797398	0.37913978	0.5677855	0.63678163	-40.80381	unknown
1	2	71	0.37866238	0.37756237	0.6081725	0.6567444	-48.014023	unknown
1	1	59	0.2701459	0.26954588	0.4036618	0.45271397	-61.481907	unknown
1	2	59	0.23490173	0.23380172	0.37660474	0.40668243	-82.99228	unknown
1	1	47	0.5828095	0.5822095	0.871895	0.977846	-2.4887695	unknown
1	2	47	0.4228335	0.4217335	0.6793228	0.73357713	-37.26679	unknown
1	1	35	0.3443459	0.3437459	0.51478094	0.5773361	-47.481903	unknown
1	2	35	0.28480756	0.28370756	0.4569924	0.49349028	-70.84975	unknown
1	1	23	0.19284782	0.19224782	0.2879031	0.32288852	-76.06645	unknown
1	2	23	0.23112707	0.23002706	0.37052456	0.40011665	-83.91069	unknown
1	1	11	0.12934047	0.12874047	0.19279689	0.21622518	-88.048965	unknown
1	2	11	0.43730533	0.43620533	0.7026338	0.7587499	-33.745663	unknown
1	1	94	0.57	0.5694	0.852712	0.9563319	-4.905659	positive
1	2	94	0.633	0.6319	1.0178562	1.0991477	13.868616	positive
