plate	well	response	type	spl
2	92	0.56257	1	552
2	86	0.835506	1	546
2	82	0.562286	1	542
2	79	0.450689	1	539
2	77	0.636183	1	537
2	73	0.67278	1	533
2	71	0.776318	1	531
2	65	0.628809	1	525
2	64	0.474439	1	524
2	61	0.464757	1	521
2	53	0.474352	1	513
2	52	0.502503	1	512
2	51	0.488191	1	511
2	46	0.466776	1	506
2	43	0.494685	1	503
2	41	0.458294	1	501
2	33	0.645227	1	493
2	32	0.51592	1	492
2	30	0.571319	1	490
2	28	0.490361	1	488
2	22	0.457685	1	482
2	20	0.66885	1	480
2	17	0.672147	1	477
2	12	0.458663	1	472
2	11	0.702628	1	471
2	10	0.556088	1	470
2	9	0.477476	1	469
2	7	0.560381	1	467
2	6	1	1	466
2	5	0.471804	1	465
2	4	0.520536	1	464
1	89	0.739022	1	457
1	88	0.548835	1	456
1	86	0.77074	1	454
1	83	0.762452	1	451
1	82	0.533213	1	450
1	80	0.50661	1	448
1	79	0.797617	1	447
1	78	0.715539	1	446
1	77	0.881923	1	445
1	75	0.915517	1	443
1	74	0.457988	1	442
1	72	0.726241	1	440
1	69	0.555631	1	437
1	67	0.555825	1	435
1	66	0.631795	1	434
1	59	0.506206	1	427
1	58	0.508701	1	426
1	56	0.476086	1	424
1	54	1	1	422
1	52	0.860248	1	420
1	49	0.76933	1	417
1	48	0.435166	1	416
1	46	0.513359	1	414
1	45	0.558174	1	413
1	43	0.813073	1	411
1	41	0.56531	1	409
1	40	0.580332	1	408
1	39	0.45307	1	407
1	38	0.574179	1	406
1	36	0.527543	1	404
1	34	0.906974	1	402
1	33	0.515312	1	401
1	28	0.700592	1	396
1	26	0.500258	1	394
1	25	0.53227	1	393
1	23	0.544508	1	391
1	21	0.683308	1	389
1	19	0.581411	1	387
1	17	0.693455	1	385
1	16	0.482568	1	384
1	15	0.821331	1	383
1	11	0.518139	1	379
1	7	0.754212	1	375
1	6	0.556317	1	374
1	4	0.698691	1	372
1	3	0.509689	1	371
1	2	0.509453	1	370
