format	well	type	row	row.num	col	replicates	targets
1536	1536	4	AF	32	48	1	1
1536	1534	4	AD	30	48	1	1
1536	1532	4	AB	28	48	1	1
1536	1530	4	Z	26	48	1	1
1536	1528	4	X	24	48	1	1
1536	1526	4	V	22	48	1	1
1536	1524	4	T	20	48	1	1
1536	1522	4	R	18	48	1	1
1536	1520	4	P	16	48	1	1
1536	1518	4	N	14	48	1	1
1536	1516	4	L	12	48	1	1
1536	1514	4	J	10	48	1	1
1536	1512	4	H	8	48	1	1
1536	1510	4	F	6	48	1	1
1536	1508	4	D	4	48	1	1
1536	1506	4	B	2	48	1	1
1536	1472	4	AF	32	46	1	1
1536	1470	4	AD	30	46	1	1
1536	1468	4	AB	28	46	1	1
1536	1466	4	Z	26	46	1	1
1536	1464	4	X	24	46	1	1
1536	1462	4	V	22	46	1	1
1536	1460	4	T	20	46	1	1
1536	1458	4	R	18	46	1	1
1536	1456	4	P	16	46	1	1
1536	1454	4	N	14	46	1	1
1536	1452	4	L	12	46	1	1
1536	1450	4	J	10	46	1	1
1536	1448	4	H	8	46	1	1
1536	1446	4	F	6	46	1	1
1536	1444	4	D	4	46	1	1
1536	1442	4	B	2	46	1	1
1536	1408	4	AF	32	44	1	1
1536	1406	4	AD	30	44	1	1
1536	1404	4	AB	28	44	1	1
1536	1402	4	Z	26	44	1	1
1536	1400	4	X	24	44	1	1
1536	1398	4	V	22	44	1	1
1536	1396	4	T	20	44	1	1
1536	1394	4	R	18	44	1	1
1536	1392	4	P	16	44	1	1
1536	1390	4	N	14	44	1	1
1536	1388	4	L	12	44	1	1
1536	1386	4	J	10	44	1	1
1536	1384	4	H	8	44	1	1
1536	1382	4	F	6	44	1	1
1536	1380	4	D	4	44	1	1
1536	1378	4	B	2	44	1	1
1536	1344	4	AF	32	42	1	1
1536	1342	4	AD	30	42	1	1
1536	1340	4	AB	28	42	1	1
1536	1338	4	Z	26	42	1	1
1536	1336	4	X	24	42	1	1
1536	1334	4	V	22	42	1	1
1536	1332	4	T	20	42	1	1
1536	1330	4	R	18	42	1	1
1536	1328	4	P	16	42	1	1
1536	1326	4	N	14	42	1	1
1536	1324	4	L	12	42	1	1
1536	1322	4	J	10	42	1	1
1536	1320	4	H	8	42	1	1
1536	1318	4	F	6	42	1	1
1536	1316	4	D	4	42	1	1
1536	1314	4	B	2	42	1	1
1536	1280	4	AF	32	40	1	1
1536	1278	4	AD	30	40	1	1
1536	1276	4	AB	28	40	1	1
1536	1274	4	Z	26	40	1	1
1536	1272	4	X	24	40	1	1
1536	1270	4	V	22	40	1	1
1536	1268	4	T	20	40	1	1
1536	1266	4	R	18	40	1	1
1536	1264	4	P	16	40	1	1
1536	1262	4	N	14	40	1	1
1536	1260	4	L	12	40	1	1
1536	1258	4	J	10	40	1	1
1536	1256	4	H	8	40	1	1
1536	1254	4	F	6	40	1	1
1536	1252	4	D	4	40	1	1
1536	1250	4	B	2	40	1	1
1536	1216	4	AF	32	38	1	1
1536	1214	4	AD	30	38	1	1
1536	1212	4	AB	28	38	1	1
1536	1210	4	Z	26	38	1	1
1536	1208	4	X	24	38	1	1
1536	1206	4	V	22	38	1	1
1536	1204	4	T	20	38	1	1
1536	1202	4	R	18	38	1	1
1536	1200	4	P	16	38	1	1
1536	1198	4	N	14	38	1	1
1536	1196	4	L	12	38	1	1
1536	1194	4	J	10	38	1	1
1536	1192	4	H	8	38	1	1
1536	1190	4	F	6	38	1	1
1536	1188	4	D	4	38	1	1
1536	1186	4	B	2	38	1	1
1536	1152	4	AF	32	36	1	1
1536	1150	4	AD	30	36	1	1
1536	1148	4	AB	28	36	1	1
1536	1146	4	Z	26	36	1	1
1536	1144	4	X	24	36	1	1
1536	1142	4	V	22	36	1	1
1536	1140	4	T	20	36	1	1
1536	1138	4	R	18	36	1	1
1536	1136	4	P	16	36	1	1
1536	1134	4	N	14	36	1	1
1536	1132	4	L	12	36	1	1
1536	1130	4	J	10	36	1	1
1536	1128	4	H	8	36	1	1
1536	1126	4	F	6	36	1	1
1536	1124	4	D	4	36	1	1
1536	1122	4	B	2	36	1	1
1536	1088	4	AF	32	34	1	1
1536	1086	4	AD	30	34	1	1
1536	1084	4	AB	28	34	1	1
1536	1082	4	Z	26	34	1	1
1536	1080	4	X	24	34	1	1
1536	1078	4	V	22	34	1	1
1536	1076	4	T	20	34	1	1
1536	1074	4	R	18	34	1	1
1536	1072	4	P	16	34	1	1
1536	1070	4	N	14	34	1	1
1536	1068	4	L	12	34	1	1
1536	1066	4	J	10	34	1	1
1536	1064	4	H	8	34	1	1
