plate	well	accs.id
1	1	ZQCJQ9046Q
1	2	WNGSN5336A
1	3	SNZCB8017I
1	4	DFPMG0361V
1	5	IGVAG8232L
1	6	XXKYP8176O
1	7	BGJLT6249E
1	8	FVWSI2005S
1	9	NLLKZ3528G
1	10	VSLBD2014C
1	11	UIVRH4714V
1	12	DZOKM3820F
1	13	UVCBS1964L
1	14	FDQCY1746I
1	15	PMKDF4087D
1	16	CWKHC4776X
1	17	DLTSW3409P
1	18	ZVGBD8858O
1	19	LRCAM9177X
1	20	OQFOZ1904M
1	21	FVWHJ7248G
1	22	HYTFB8783C
1	23	EPADW7351M
1	24	QMQRG1403E
1	25	XEMQS8888F
1	26	FVCOG4317M
1	27	CIJWG1275P
1	28	UZMGM8472H
1	29	AYZGT3796A
1	30	FHNUR2354W
1	31	DDNSV5421Q
1	32	YTNVS0009L
1	33	PTUCP4102B
1	34	RVTSX4678K
1	35	YIDFE5649G
1	36	XPAKX7349L
1	37	HUGHG6463X
1	38	DPGBM1983Z
1	39	QNMKX0853O
1	40	FRASL5809B
1	41	PVHHF2871Z
1	42	EGYVA3548G
1	43	OFVIZ4580H
1	44	XEJIW8569U
1	45	ZYFAV9450Z
1	46	CBSTY0998E
1	47	QLIRE2808V
1	48	VFAGT8442H
1	49	LUFHT8953H
1	50	MOSPH4225W
1	51	RAZIC8547V
1	52	UBHRA7976O
1	53	GEQBO8009Y
1	54	ECIJP4299U
1	55	NYZWP4280W
1	56	MXNUT0267Q
1	57	PIKPW5212O
1	58	KSGTX6166G
1	59	SMSJI3894G
1	60	VKOON9403T
1	61	LKHYB6584M
1	62	ZYQQV6295D
1	63	XPZGJ2832E
1	64	DZXQS8557Y
1	65	HOSKD3050B
1	66	PRHMT8392L
1	67	ORGZF5041C
1	68	XHBRA2258S
1	69	ZUYQW6045M
1	70	TAEVA2349K
1	71	LLFVE6629V
1	72	LWQZZ1435C
1	73	CJXOH4851G
1	74	KMCNZ4362C
1	75	HNWVN7101U
1	76	YRAQK5112H
1	77	NDKSE2811E
1	78	EOJBE7857T
1	79	LBTYC5982Z
1	80	XKJNN7435A
1	81	ARGBO8996E
1	82	HPICV2676U
1	83	HYEJG2537R
1	84	GGFUX5850U
1	85	ZCJQG7531S
1	86	CVHFX2262W
1	87	AMNLY1987L
1	88	IBVOX6573H
1	89	RLNZF9774D
1	90	DBIJW4487N
1	91	SBCBT7861L
1	92	AYSEM9688H
1	93	NVKQD5022C
1	94	QOVOF4243O
1	95	QIHAY7418S
1	96	PYQCM2582D
1	97	HLYPM6421R
1	98	UYUXM1407W
1	99	EZXQM1956G
1	100	CPGNV3578R
1	101	HGNHL3925X
1	102	LDOTB7319V
1	103	KBZFS0979J
1	104	CDSFH2829K
1	105	CUAPZ6169M
1	106	HAHRO7476T
1	107	EJMLP5012T
1	108	ZKQIP7729T
1	109	VUURN9447N
1	110	CCOJZ0920P
1	111	QHOVQ8668E
1	112	ALQQA8818B
1	113	WRIVL6733R
1	114	APMZB5345P
1	115	CKGRB0459T
1	116	ABPTA0519I
1	117	UPYIO6927F
1	118	DRIUQ7060A
1	119	LVROK4267I
1	120	CFDCB7181N
1	121	RDZMZ8042E
1	122	SDWVR1053I
1	123	PFEOS5362H
1	124	ZPSMQ8592J
1	125	JAFSM5655S
1	126	NYKUT4906L
1	127	FARCG3427A
1	128	QUZIN6919S
1	129	QPDAB0151Q
1	130	VTGRO5623X
1	131	ZWOCT8460J
1	132	FBKOO6251I
1	133	JCPUF4474X
1	134	BAZKL2007Y
1	135	SRUKJ2657F
1	136	UFWVD9101X
1	137	AYBUF3918E
1	138	TNUED1806P
1	139	WDFZS2774N
1	140	TLXFB1285T
1	141	DIUSX8210D
1	142	ZWKAU6955O
1	143	JTRRR3888A
1	144	ZWZAV4224C
1	145	BRZEQ2317A
1	146	DXLVA0861L
1	147	MFMNY1698U
1	148	SLQYQ3174T
1	149	JGQVM3776L
1	150	GQBID0598C
1	151	SMVNZ0651I
1	152	PYBOE5657V
1	153	RVKLP6095L
1	154	KJFHE7263A
1	155	SVKIW6288H
1	156	TVNJY5785V
1	157	XEGLU8722N
1	158	NOQBH4803K
1	159	YIQXN2463Q
1	160	YZNZA9304Z
1	161	UZYVV2374N
1	162	YTYAR7409Z
1	163	QWBGA3738P
1	164	ZCYPH1957I
1	165	IBJRZ5381A
1	166	MOXCO2514Q
1	167	HKZJI1158V
1	168	HGAMN5618S
1	169	HKQDZ1001C
1	170	DZXVL7851F
