AssayRun	PlateSet	Plate	PlateOrder	Well	WellType	WellNum	Response	Bk_Sub	Norm	NormPos	pEnhanced	Sample	accession	Target
AR-5	PS-5	PLT-9	1	AF48	blank	1536	0.0041	5.6250003E-4	6.9119077E-4	9.7202725E-4	-114.38845			1
AR-5	PS-5	PLT-9	1	AE48	blank	1535	0.0021	-0.0014375	-0.0017663764	-0.0024840697	-114.78661			1
AR-5	PS-5	PLT-9	1	AD48	blank	1534	0.0021	-0.0014375	-0.0017663764	-0.0024840697	-114.78661			1
AR-5	PS-5	PLT-9	1	AC48	blank	1533	0.0036	6.249995E-5	7.679891E-5	1.0800294E-4	-114.48799			1
AR-5	PS-5	PLT-9	1	AB48	negative	1532	0.063	0.059462503	0.07306654	0.10275408	-102.66268			1
AR-5	PS-5	PLT-9	1	AA48	negative	1531	0.085	0.0814625	0.10009978	0.14077114	-98.28294			1
AR-5	PS-5	PLT-9	1	Z48	negative	1530	0.144	0.14046249	0.172598	0.24272598	-86.53727			1
AR-5	PS-5	PLT-9	1	Y48	negative	1529	0.034	0.030462502	0.03743182	0.052640676	-108.43598			1
AR-5	PS-5	PLT-9	1	X48	positive	1528	0.628	0.62446254	0.7673293	1.0791014	9.8171			1
AR-5	PS-5	PLT-9	1	W48	positive	1527	0.604	0.6004625	0.7378384	1.0376282	5.0391874			1
AR-5	PS-5	PLT-9	1	V48	positive	1526	0.536	0.53246254	0.65428114	0.92012095	-8.498194			1
AR-5	PS-5	PLT-9	1	U48	positive	1525	0.595	0.59146255	0.7267794	1.0220759	3.2474854			1
AR-5	PS-5	PLT-9	1	T48	positive	1524	0.559	0.55546254	0.68254316	0.9598661	-3.9193707			1
AR-5	PS-5	PLT-9	1	S48	positive	1523	0.522	0.51846254	0.63707817	0.8959283	-11.285303			1
AR-5	PS-5	PLT-9	1	R48	positive	1522	0.628	0.62446254	0.7673293	1.0791014	9.8171			1
AR-5	PS-5	PLT-9	1	Q48	positive	1521	0.59	0.5864625	0.7206354	1.0134355	2.252078			1
AR-5	PS-5	PLT-9	1	P48	unknown	1520	0.23793902	0.23440151	0.28802872	0.40505716	-67.83595	SPL-2808		1
AR-5	PS-5	PLT-9	1	O48	unknown	1519	0.13808593	0.13454843	0.1653309	0.2325062	-87.71463	SPL-2807		1
AR-5	PS-5	PLT-9	1	N48	unknown	1518	0.41252628	0.40898877	0.50255865	0.7067524	-33.079254	SPL-2806		1
AR-5	PS-5	PLT-9	1	M48	unknown	1517	0.2973516	0.2938141	0.36103392	0.507725	-56.008144	SPL-2805		1
AR-5	PS-5	PLT-9	1	L48	unknown	1516	0.29458964	0.29105213	0.35764006	0.50295216	-56.55799	SPL-2804		1
AR-5	PS-5	PLT-9	1	K48	unknown	1515	0.39076152	0.38722402	0.4758145	0.6691418	-37.412163	SPL-2803		1
AR-5	PS-5	PLT-9	1	J48	unknown	1514	0.25768775	0.25415024	0.31229565	0.43918392	-63.904392	SPL-2802		1
AR-5	PS-5	PLT-9	1	I48	unknown	1513	0.48959768	0.48606017	0.59726274	0.8399355	-17.735937	SPL-2801		1
AR-5	PS-5	PLT-9	1	H48	unknown	1512	0.16926986	0.16573235	0.2036492	0.28639352	-81.50656	SPL-2800		1
AR-5	PS-5	PLT-9	1	G48	unknown	1511	0.3941461	0.3906086	0.47997344	0.6749906	-36.73836	SPL-2799		1
AR-5	PS-5	PLT-9	1	F48	unknown	1510	0.40541175	0.40187424	0.49381647	0.6944581	-34.49561	SPL-2798		1
AR-5	PS-5	PLT-9	1	E48	unknown	1509	0.49237677	0.48883927	0.60067767	0.8447379	-17.182676	SPL-2797		1
