project	target	description	accession
1	DYSF		8291
1	FKRP		79147
1	LAMA2		3908
1	TGFB2		7042
1	FSHMD1B		2490
1	SYNE1		23345
1	PROM1		8842
1	NGF		4803
1	SMCHD1		23347
1	SELENON		57190
1	HNRNPA1		3178
1	DES		1674
1	GNE		10020
1	SEPTIN9		10801
1	FST		10468
1	CAPN2		824
1	WWP1		11059
1	NEB		4703
1	LITAF		9516
1	GPC1		2817
2	FKTN		2218
2	HNRNPDL		9987
2	POMT2		29954
2	SPP1		6696
2	PABPN1		8106
2	EP300		2033
2	LGMD1H		100529230
2	TGM2		7052
2	BVES		11149
2	MSTN		2660
2	DNM2		1785
2	MIR206		406989
2	LAMP2		3920
2	XDH		7498
2	UTRN		7402
2	TPM3		7170
2	INPP5K		51763
2	MUSK		4593
2	B3GALNT2		148789
2	TRIP4		9325
3	LMNA		4000
3	DAG1		1605
3	FSHMD1A		2489
3	BCL2		596
3	HSPB1		3315
3	TIMP1		7076
3	MMD2		100505381
3	MYH7		4625
3	PRKAA1		5562
3	PDGFB		5155
3	MFN2		9927
3	DTNBP1		84062
3	POMK		84197
3	RAB27A		5873
3	MIR199A1		406976
3	CAVIN1		284119
3	DUX4L1		22947
3	GDAP1		54332
3	MYOT		9499
3	IGHMBP2		3508
4	HLA-B		3106
4	POMT1		10585
4	VEGFA		7422
4	POMGNT1		55624
4	NR3C1		2908
4	HSP90AA1		3320
4	MDCMP		619409
4	THBS1		7057
4	TIMP2		7077
4	ORAI1		84876
4	FHL1		2273
4	TPM1		7168
4	CHAT		1103
4	OTC		5009
4	TERF1		7013
4	MATR3		9782
4	SGCE		8910
4	GFPT1		2673
4	SBF2		81846
4	CTDP1		9150
5	SGCB		6443
5	HLA-A		3105
5	CREBBP		1387
5	ALMS1		7840
5	FOXP3		50943
5	CRPPA		729920
5	MDC1B		53368
5	NTRK1		4914
5	RYR1		6261
5	SGCG		6445
5	ACTN3		89
5	HNRNPA2B1		3181
5	NEFL		4747
5	RAB7A		7879
5	EGR2		1959
5	FLNC		2318
5	TRAPPC11		60684
5	DTNB		1838
5	ZMPSTE24		10269
5	MYH6		4624
6	DMD		1756
6	TP53		7157
6	TGFB1		7040
6	SGCD		6444
6	VWF		7450
6	FN1		2335
6	MDRV		4195
6	TGFBR2		7048
6	STIM1		6786
6	CAV3		859
6	POMGNT2		84892
6	NR0B1		190
6	PMP22		5376
6	TPM2		7169
6	MYPN		84665
6	TRIM32		22954
6	ELP1		8518
6	TNNT1		7138
6	DNAJA1		3301
6	RXYLT1		10329
7	TNPO3		23534
7	PLEC		5339
7	GMPPB		29925
7	MMP2		4313
7	AGER		177
7	TNNT2		7139
7	TNNI3		7137
7	CRYAB		1410
7	BAG3		9531
7	TIMP3		7078
7	GJB1		2705
7	MPZ		4359
7	ACTC1		70
7	YARS1		8565
7	SLC25A4		291
7	MYL2		4633
7	CASP4		837
7	AGRN		375790
7	FXR1		8087
7	FAT1		2195
8	TCAP		8557
8	TTN		7273
8	NFKB1		4790
8	EMD		2010
8	PARP1		142
8	COL6A3		1293
8	CNR1		1268
8	PRKACA		5566
8	MYBPC3		4607
8	SYNE2		23224
8	HSPG2		3339
8	DUX4		100288687
8	ITPR1		3708
8	MTM1		4534
8	GARS1		2617
8	TOR1AIP1		26092
8	TRPV2		51393
8	EDN3		1908
8	SGCZ		137868
8	DOK7		285489
9	SGCA		6442
9	CAPN3		825
9	IL1B		3553
9	IL17A		3605
9	COL6A1		1291
9	CCN2		1490
9	SMN1		6606
9	ACTA1		58
9	NDRG1		10397
9	SOX10		6663
9	BIN1		274
9	CAPN1		823
9	DCTN1		1639
9	TMEM43		79188
9	WNK1		65125
9	SETX		23064
9	CCT5		22948
9	KIF1B		23095
9	LIMS2		55679
9	DTNA		1837
10	FRG1		2483
10	LARGE1		9215
10	ANO5		203859
10	NOTCH1		4851
10	VCP		7415
10	DNAJB6		10049
10	COL6A2		1292
10	ITGA7		3679
10	CFLAR		8837
10	CNTN1		1272
10	CHKB		1120
10	MSN		4478
10	COL12A1		1303
10	POGLUT1		56983
10	HSPB8		26353
10	ATL1		51062
10	ISCU		23479
10	CHRNA1		1134
10	CHRNE		1145
10	CFL2		1073
