assay.run.id	plate.order	well	response	bkgrnd.sub	norm	norm.pos	p.enhance	type
4	2	26	0.307794	0.103321	0.353804	0.512992	-48.7008	unknown
4	1	26	0.349677	0.18154	0.655839	0.750481	-29.9615	unknown
4	2	50	0.215104	0.0106308	0.0364033	0.0527824	-94.7218	unknown
4	1	50	0.381215	0.213078	0.769774	0.880857	-14.3063	unknown
4	2	122	0.229664	0.0251904	0.0862603	0.125072	-87.4928	unknown
4	1	122	0.282944	0.114807	0.414754	0.474606	-63.0876	unknown
4	2	146	0.203488	0	0	0	-100	unknown
4	1	146	0.271096	0.102959	0.371952	0.425627	-68.9689	unknown
4	2	218	0.38241	0.177937	0.609314	0.883465	-11.6535	unknown
4	1	218	0.192199	0.0240621	0.0869274	0.0994716	-108.133	unknown
4	2	242	0.258162	0.0536887	0.183848	0.266567	-73.3433	unknown
4	1	242	0.338872	0.170736	0.616805	0.705814	-35.325	unknown
4	2	314	0.173967	0	0	0	-100	unknown
4	1	314	0.299255	0.131118	0.473683	0.542038	-54.9906	unknown
4	2	338	0.284373	0.0798996	0.273603	0.396706	-60.3294	unknown
4	1	338	0.325707	0.15757	0.569244	0.651389	-41.8601	unknown
4	2	28	0.336138	0.131664	0.450863	0.653722	-34.6278	unknown
4	1	28	0.356663	0.188526	0.681075	0.779358	-26.494	unknown
4	2	52	0.305567	0.101094	0.346179	0.501936	-49.8063	unknown
4	1	52	0.267762	0.0996247	0.359907	0.411844	-70.6239	unknown
4	2	124	0.206719	0.00224563	0.0076898	0.0111497	-98.885	unknown
4	1	124	0.261851	0.0937136	0.338553	0.387408	-73.5581	unknown
4	2	148	0.328669	0.124195	0.425286	0.616636	-38.3364	unknown
4	1	148	0.313565	0.145428	0.525378	0.601192	-47.8875	unknown
4	2	220	0.287393	0.0829197	0.283945	0.411701	-58.8299	unknown
4	1	220	0.221559	0.0534225	0.192996	0.220846	-93.5583	unknown
4	2	244	0.306316	0.101843	0.348743	0.505654	-49.4346	unknown
4	1	244	0.35055	0.182413	0.658991	0.754087	-29.5284	unknown
4	2	316	0.27373	0.0692565	0.237157	0.343863	-65.6137	unknown
4	1	316	0.353258	0.185121	0.668776	0.765284	-28.1839	unknown
4	2	340	0.317523	0.11305	0.38712	0.561299	-43.8701	unknown
4	1	340	0.365446	0.197309	0.712806	0.815668	-22.134	unknown
4	2	30	0.291563	0.087089	0.298222	0.432402	-56.7598	unknown
4	1	30	0.248632	0.0804954	0.290801	0.332765	-80.1195	unknown
4	2	54	0.270688	0.0662143	0.22674	0.328758	-67.1242	unknown
4	1	54	0.366494	0.198357	0.716593	0.820001	-21.6137	unknown
4	2	126	0.29583	0.0913564	0.312835	0.45359	-54.641	unknown
4	1	126	0.364675	0.196538	0.710021	0.812481	-22.5166	unknown
4	2	150	0.241851	0.0373772	0.127992	0.18558	-81.442	unknown
4	1	150	0.340141	0.172004	0.621388	0.711057	-34.6953	unknown
4	1	222	0.300728	0.132592	0.479005	0.548128	-54.2594	unknown
4	2	222	0.190184	0	0	0	-100	unknown
4	2	246	0.277131	0.0726572	0.248803	0.360747	-63.9253	unknown
4	1	246	0.169672	0.00153471	0.00554433	0.00634441	-119.315	unknown
4	2	318	0.394728	0.190254	0.651494	0.944623	-5.53769	unknown
4	1	318	0.189022	0.0208852	0.0754505	0.0863385	-109.71	unknown
4	2	342	0.252021	0.0475477	0.162819	0.236077	-76.3923	unknown
4	1	342	0.24575	0.0776132	0.280388	0.32085	-81.5502	unknown
4	2	32	0.31993	0.115456	0.395361	0.573247	-42.6753	unknown
4	1	32	0.325151	0.157014	0.567234	0.649089	-42.1363	unknown
4	2	56	0.233371	0.0288971	0.0989533	0.143476	-85.6524	unknown
4	1	56	0.293916	0.125779	0.454395	0.519967	-57.6408	unknown
4	2	128	0.280802	0.0763286	0.261375	0.378976	-62.1024	unknown
