plate	well	response	type	spl
10	376	0.63629997	1	3728
10	360	0.7114539	1	3728
10	354	0.5431885	1	3725
10	340	0.45457593	1	3718
10	316	0.40968177	1	3714
10	304	0.98223454	1	3716
10	290	0.7858186	1	3709
10	278	0.600411	1	3703
10	276	0.58413666	1	3702
10	266	0.5016338	1	3705
10	260	1.0000309	1	3702
10	258	0.5470351	1	3701
10	256	0.52079326	1	3700
10	228	0.6672356	1	3694
10	224	0.5710295	1	3692
10	222	0.9991212	1	3691
10	220	0.6482403	1	3690
10	216	0.7737024	1	3688
10	212	0.45268452	1	3686
10	208	0.76996773	1	3692
10	200	0.46949768	1	3688
10	184	1.1234155	1	3680
10	176	0.85444176	1	3684
10	168	0.5865702	1	3680
10	158	0.42274785	1	3675
10	156	0.74876803	1	3674
10	150	0.545898	1	3671
10	148	0.74180067	1	3670
10	144	0.43677917	1	3676
10	130	0.5848458	1	3669
10	126	0.41658348	1	3667
10	124	0.6892619	1	3666
10	122	0.5537358	1	3665
10	120	0.74314725	1	3664
10	118	0.7923152	1	3663
10	110	0.52558714	1	3667
10	100	0.5471532	1	3662
10	98	0.48481888	1	3661
10	84	0.60291934	1	3654
10	78	0.47518012	1	3659
10	74	0.41807386	1	3657
10	70	0.41908568	1	3655
10	50	0.8138794	1	3645
10	48	0.7141213	1	3652
10	46	0.9010035	1	3651
10	44	0.7417195	1	3650
10	36	0.65348154	1	3646
10	32	0.730439	1	3644
10	30	0.5121576	1	3643
10	28	0.62053066	1	3642
10	10	0.50208193	1	3641
10	8	0.8126468	1	3640
10	6	0.5763379	1	3639
10	4	0.49765277	1	3638
10	2	0.41570088	1	3637
9	370	0.47930622	1	3633
9	360	0.43336797	1	3636
9	344	0.76485735	1	3628
9	342	0.4137286	1	3627
9	340	0.59663266	1	3626
9	328	0.4514195	1	3628
9	326	0.40842757	1	3627
9	310	0.41891652	1	3619
9	300	0.40207034	1	3622
9	290	1.0602971	1	3617
9	286	0.4875616	1	3615
9	282	0.4735655	1	3613
9	278	0.8540222	1	3611
9	268	0.57875764	1	3614
9	264	0.51855016	1	3612
9	262	0.4795784	1	3611
9	252	0.6069918	1	3606
9	248	0.5843038	1	3604
9	242	0.46928468	1	3601
9	240	0.4767813	1	3608
9	230	0.53023404	1	3603
9	228	0.5309501	1	3602
9	222	0.7079139	1	3599
9	208	0.63207746	1	3600
9	180	0.67327046	1	3586
9	114	0.49842665	1	3569
9	112	0.50610965	1	3576
9	110	0.6180475	1	3575
9	102	0.4234867	1	3571
9	86	0.4965107	1	3563
9	68	0.6650882	1	3562
9	62	0.51770866	1	3559
9	54	0.4604324	1	3555
