format	well	type	row	row.num	col	replicates	targets
96	96	4	H	8	12	1	1
96	95	3	G	7	12	1	1
96	94	2	F	6	12	1	1
96	93	2	E	5	12	1	1
96	92	1	D	4	12	1	1
96	91	1	C	3	12	1	1
96	90	1	B	2	12	1	1
96	89	1	A	1	12	1	1
96	88	1	H	8	11	1	1
96	87	1	G	7	11	1	1
96	86	1	F	6	11	1	1
96	85	1	E	5	11	1	1
96	84	1	D	4	11	1	1
96	83	1	C	3	11	1	1
96	82	1	B	2	11	1	1
96	81	1	A	1	11	1	1
96	80	1	H	8	10	1	1
96	79	1	G	7	10	1	1
96	78	1	F	6	10	1	1
96	77	1	E	5	10	1	1
96	76	1	D	4	10	1	1
96	75	1	C	3	10	1	1
96	74	1	B	2	10	1	1
96	73	1	A	1	10	1	1
96	72	1	H	8	9	1	1
96	71	1	G	7	9	1	1
96	70	1	F	6	9	1	1
96	69	1	E	5	9	1	1
96	68	1	D	4	9	1	1
96	67	1	C	3	9	1	1
96	66	1	B	2	9	1	1
96	65	1	A	1	9	1	1
96	64	1	H	8	8	1	1
96	63	1	G	7	8	1	1
96	62	1	F	6	8	1	1
96	61	1	E	5	8	1	1
96	60	1	D	4	8	1	1
96	59	1	C	3	8	1	1
96	58	1	B	2	8	1	1
96	57	1	A	1	8	1	1
96	56	1	H	8	7	1	1
96	55	1	G	7	7	1	1
96	54	1	F	6	7	1	1
96	53	1	E	5	7	1	1
96	52	1	D	4	7	1	1
96	51	1	C	3	7	1	1
96	50	1	B	2	7	1	1
96	49	1	A	1	7	1	1
96	48	1	H	8	6	1	1
96	47	1	G	7	6	1	1
96	46	1	F	6	6	1	1
96	45	1	E	5	6	1	1
96	44	1	D	4	6	1	1
96	43	1	C	3	6	1	1
96	42	1	B	2	6	1	1
96	41	1	A	1	6	1	1
96	40	1	H	8	5	1	1
96	39	1	G	7	5	1	1
96	38	1	F	6	5	1	1
96	37	1	E	5	5	1	1
96	36	1	D	4	5	1	1
96	35	1	C	3	5	1	1
96	34	1	B	2	5	1	1
96	33	1	A	1	5	1	1
96	32	1	H	8	4	1	1
96	31	1	G	7	4	1	1
96	30	1	F	6	4	1	1
96	29	1	E	5	4	1	1
96	28	1	D	4	4	1	1
96	27	1	C	3	4	1	1
96	26	1	B	2	4	1	1
96	25	1	A	1	4	1	1
96	24	1	H	8	3	1	1
96	23	1	G	7	3	1	1
96	22	1	F	6	3	1	1
96	21	1	E	5	3	1	1
96	20	1	D	4	3	1	1
96	19	1	C	3	3	1	1
96	18	1	B	2	3	1	1
96	17	1	A	1	3	1	1
96	16	1	H	8	2	1	1
96	15	1	G	7	2	1	1
96	14	1	F	6	2	1	1
96	13	1	E	5	2	1	1
96	12	1	D	4	2	1	1
96	11	1	C	3	2	1	1
96	10	1	B	2	2	1	1
96	9	1	A	1	2	1	1
96	8	1	H	8	1	1	1
96	7	1	G	7	1	1	1
96	6	1	F	6	1	1	1
96	5	1	E	5	1	1	1
96	4	1	D	4	1	1	1
96	3	1	C	3	1	1	1
96	2	1	B	2	1	1	1
96	1	1	A	1	1	1	1
